ADM_CD,ADM_NM,lat,lng,행정동코드,시도,시군구,행정동명,행정동명_전체,총인구수,0_4세,5_9세,10_12세,13_15세,16_18세,19_24세,25_34세,35_49세,50_64세,65세이상
32020550,명륜2동,37.330483518156655,127.94196315905693,5113054200,강원특별자치도,원주시,명륜2동,강원특별자치도 원주시 명륜2동,17862.0,477.0,506.0,426.0,489.0,569.0,1012.0,2328.0,3356.0,4835.0,3864.0
32020560,단구동,37.32381874533336,127.9540524773472,5113055000,강원특별자치도,원주시,단구동,강원특별자치도 원주시 단구동,40875.0,861.0,1227.0,1002.0,1290.0,1419.0,2632.0,5909.0,8352.0,11112.0,7071.0
32020570,일산동,37.34744447520838,127.9442601249574,5113056000,강원특별자치도,원주시,일산동,강원특별자치도 원주시 일산동,8040.0,121.0,126.0,128.0,145.0,149.0,532.0,1545.0,1147.0,1856.0,2291.0
32020580,학성동,37.35599793036954,127.93970513172704,5113057500,강원특별자치도,원주시,학성동,강원특별자치도 원주시 학성동,4091.0,49.0,50.0,42.0,71.0,60.0,169.0,400.0,563.0,1167.0,1520.0
32020600,단계동,37.3517159277889,127.92620765409733,5113059000,강원특별자치도,원주시,단계동,강원특별자치도 원주시 단계동,26660.0,771.0,851.0,534.0,625.0,614.0,1416.0,4075.0,5394.0,7008.0,5372.0
32020610,우산동,37.37957549331646,127.93047877647705,5113060000,강원특별자치도,원주시,우산동,강원특별자치도 원주시 우산동,12872.0,231.0,360.0,326.0,354.0,357.0,1080.0,1601.0,2430.0,3330.0,2803.0
32020620,태장1동,37.36497484099864,127.96057345034107,5113061000,강원특별자치도,원주시,태장1동,강원특별자치도 원주시 태장1동,12339.0,366.0,449.0,321.0,337.0,338.0,600.0,1577.0,2431.0,3150.0,2770.0
32020630,태장2동,37.386918857844286,127.95308119162608,5113062000,강원특별자치도,원주시,태장2동,강원특별자치도 원주시 태장2동,24254.0,555.0,626.0,556.0,657.0,754.0,1237.0,2856.0,4527.0,6876.0,5610.0
32020640,봉산동,37.35708763942621,127.9852169090202,5113063500,강원특별자치도,원주시,봉산동,강원특별자치도 원주시 봉산동,7027.0,64.0,93.0,91.0,115.0,170.0,300.0,611.0,914.0,2071.0,2598.0
32020660,행구동,37.343654372394425,128.00542084856022,5113065000,강원특별자치도,원주시,행구동,강원특별자치도 원주시 행구동,8366.0,161.0,288.0,209.0,240.0,266.0,504.0,829.0,1520.0,2425.0,1924.0
32020670,무실동,37.32702258368974,127.92116731881548,5113066000,강원특별자치도,원주시,무실동,강원특별자치도 원주시 무실동,38638.0,1226.0,1954.0,1423.0,1586.0,1462.0,2478.0,4971.0,9445.0,8793.0,5300.0
32020680,반곡관설동,37.315587486254586,127.99725406119828,5113067500,강원특별자치도,원주시,반곡관설동,강원특별자치도 원주시 반곡관설동,52223.0,2294.0,2852.0,1939.0,2086.0,1891.0,2964.0,7268.0,13898.0,11812.0,5219.0
32030110,주문진읍,37.887864132213934,128.75157439226928,5115025000,강원특별자치도,강릉시,주문진읍,,,,,,,,,,,,
32030310,성산면,37.73467536586766,128.80013996489646,5115031000,강원특별자치도,강릉시,성산면,,,,,,,,,,,,
32030320,왕산면,37.60049684592449,128.80141256307854,5115032000,강원특별자치도,강릉시,왕산면,,,,,,,,,,,,
32030330,구정면,37.69485845756463,128.88914377178412,5115033000,강원특별자치도,강릉시,구정면,,,,,,,,,,,,
32030340,강동면,37.685251027490686,128.9802821765308,5115034000,강원특별자치도,강릉시,강동면,강원특별자치도 강릉시 강동면,3663.0,21.0,36.0,32.0,35.0,43.0,114.0,224.0,404.0,1044.0,1710.0
32030350,옥계면,37.59883980491646,128.97649902282356,5115035000,강원특별자치도,강릉시,옥계면,,,,,,,,,,,,
32030360,사천면,37.79698659565817,128.80905830590387,5115036000,강원특별자치도,강릉시,사천면,,,,,,,,,,,,
32030370,연곡면,37.82863997964732,128.68760994854907,5115037000,강원특별자치도,강릉시,연곡면,,,,,,,,,,,,
32030510,홍제동,37.75100045339909,128.8717394693827,5115051000,강원특별자치도,강릉시,홍제동,강원특별자치도 강릉시 홍제동,13927.0,375.0,496.0,349.0,378.0,360.0,748.0,1629.0,2870.0,3507.0,3215.0
32030520,중앙동,37.75307200128778,128.89601151020184,5115052000,강원특별자치도,강릉시,중앙동,강원특별자치도 강릉시 중앙동,4004.0,34.0,47.0,41.0,70.0,75.0,180.0,407.0,573.0,966.0,1611.0
32030540,옥천동,37.7592724546445,128.9011576122108,5115054000,강원특별자치도,강릉시,옥천동,강원특별자치도 강릉시 옥천동,2920.0,13.0,33.0,29.0,32.0,51.0,98.0,278.0,380.0,807.0,1199.0
32030550,교1동,37.766423392296296,128.88293481651647,5115055000,강원특별자치도,강릉시,교1동,강원특별자치도 강릉시 교1동,27439.0,652.0,1118.0,815.0,908.0,881.0,2014.0,3299.0,5373.0,6908.0,5471.0
32030560,교2동,37.77076114116472,128.8964213666975,5115056000,강원특별자치도,강릉시,교2동,강원특별자치도 강릉시 교2동,10240.0,350.0,295.0,249.0,302.0,296.0,509.0,1232.0,2042.0,2561.0,2404.0
32030570,포남1동,37.764686942183,128.90701604873794,5115057100,강원특별자치도,강릉시,포남1동,강원특별자치도 강릉시 포남1동,10260.0,129.0,147.0,134.0,184.0,235.0,468.0,1228.0,1609.0,2805.0,3321.0
32030580,포남2동,37.77877133105648,128.90721873495255,5115057200,강원특별자치도,강릉시,포남2동,강원특별자치도 강릉시 포남2동,11102.0,151.0,184.0,174.0,217.0,268.0,471.0,1223.0,1831.0,3132.0,3451.0
32030590,초당동,37.79066952668654,128.91569739895675,5115058000,강원특별자치도,강릉시,초당동,강원특별자치도 강릉시 초당동,4055.0,68.0,106.0,88.0,85.0,108.0,197.0,427.0,669.0,1178.0,1129.0
32030600,송정동,37.77778454037802,128.92903659492143,5115059000,강원특별자치도,강릉시,송정동,강원특별자치도 강릉시 송정동,9138.0,287.0,365.0,208.0,234.0,258.0,462.0,1026.0,1847.0,2351.0,2100.0
32030610,내곡동,37.7382599261687,128.87371832718327,5115060000,강원특별자치도,강릉시,내곡동,강원특별자치도 강릉시 내곡동,17901.0,586.0,628.0,426.0,515.0,483.0,1202.0,2153.0,3934.0,4350.0,3624.0
32030620,강남동,37.73270080528832,128.91737285928747,5115061500,강원특별자치도,강릉시,강남동,강원특별자치도 강릉시 강남동,15623.0,214.0,315.0,269.0,346.0,315.0,766.0,1538.0,2315.0,4232.0,5313.0
32030650,성덕동,37.75512753682759,128.9361429266594,5115064500,강원특별자치도,강릉시,성덕동,강원특별자치도 강릉시 성덕동,25380.0,660.0,838.0,736.0,833.0,814.0,1550.0,2907.0,4930.0,6788.0,5324.0
32030670,경포동,37.78858049103228,128.87347754935712,5115066500,강원특별자치도,강릉시,경포동,강원특별자치도 강릉시 경포동,11433.0,357.0,518.0,397.0,383.0,325.0,831.0,1483.0,2498.0,2697.0,1944.0
